Date,Open,High,Low,Close,Adj Close,Volume
2015-12-14,1.097400,1.102000,1.094500,1.102000,1.102000,14125
2015-12-15,1.102500,1.108800,1.093300,1.094600,1.094600,14611
2015-12-16,1.095500,1.104000,1.091500,1.100800,1.100800,17744
2015-12-17,1.092400,1.092400,1.082900,1.083000,1.083000,18721
2015-12-18,1.085700,1.090000,1.083000,1.089100,1.089100,16859
2015-12-20,null,null,null,null,null,null
2015-12-21,1.089100,1.096600,1.087400,1.095200,1.095200,16714
2015-12-22,1.093900,1.101100,1.092800,1.097900,1.097900,14138
2015-12-23,1.098100,1.098100,1.089400,1.093600,1.093600,13391
2015-12-24,1.093000,1.099200,1.092800,1.097600,1.097600,6838
2015-12-27,null,null,null,null,null,null
2015-12-28,1.098700,1.101500,1.097800,1.099900,1.099900,9195
2015-12-29,1.099400,1.101500,1.092100,1.096100,1.096100,12380
2015-12-30,1.094300,1.096200,1.092100,1.094400,1.094400,10946
2015-12-31,1.094700,1.095700,1.087200,1.088600,1.088600,13372
2016-01-03,null,null,null,null,null,null
2016-01-04,1.088000,1.096500,1.079900,1.084600,1.084600,31954
2016-01-05,1.085000,1.085700,1.072900,1.076300,1.076300,21687
2016-01-06,1.077000,1.081800,1.073400,1.080600,1.080600,23496
2016-01-07,1.078700,1.095900,1.078700,1.095200,1.095200,37997
2016-01-08,1.094400,1.094900,1.082100,1.092000,1.092000,39311
2016-01-10,null,null,null,null,null,null
2016-01-11,1.096500,1.099100,1.086400,1.088900,1.088900,25858
2016-01-12,1.087600,1.091700,1.083700,1.087100,1.087100,21126
2016-01-13,1.086500,1.090500,1.082100,1.089400,1.089400,21098
2016-01-14,1.089700,1.096000,1.085000,1.087800,1.087800,26646
2016-01-15,1.088100,1.094900,1.087100,1.092400,1.092400,28968
2016-01-17,null,null,null,null,null,null
2016-01-18,null,null,null,null,null,null
2016-01-19,1.093100,1.095500,1.087400,1.093900,1.093900,22387
2016-01-20,1.092900,1.099100,1.089200,1.090600,1.090600,22196
2016-01-21,1.090200,1.093600,1.079000,1.089000,1.089000,24243
2016-01-22,1.088300,1.089000,1.080100,1.080300,1.080300,14438
2016-01-24,null,null,null,null,null,null
2016-01-25,1.080700,1.089000,1.080300,1.084900,1.084900,9579
2016-01-26,1.086300,1.088600,1.083100,1.086500,1.086500,11968
2016-01-27,1.088000,1.093000,1.086200,1.091700,1.091700,13207
2016-01-28,1.091000,1.097900,1.088100,1.096700,1.096700,15192
2016-01-29,1.095100,1.096000,1.082100,1.083800,1.083800,21381
2016-01-31,null,null,null,null,null,null
2016-02-01,1.084000,1.092400,1.082500,1.090300,1.090300,13092
2016-02-02,1.089900,1.095100,1.089700,1.092700,1.092700,10938
2016-02-03,1.093400,1.115600,1.091500,1.110300,1.110300,26680
2016-02-04,1.109500,1.124900,1.108000,1.122200,1.122200,24298
2016-02-05,1.121100,1.126600,1.111900,1.115400,1.115400,19525
2016-02-07,null,null,null,null,null,null
2016-02-08,1.116000,1.122700,1.109600,1.122100,1.122100,17159
2016-02-09,1.120700,1.134800,1.117200,1.129600,1.129600,18946
2016-02-10,1.129800,1.132100,1.117000,1.128900,1.128900,23267
2016-02-11,1.128900,1.138500,1.128300,1.133200,1.133200,25439
2016-02-12,1.132200,1.134100,1.122200,1.126400,1.126400,14100
2016-02-14,null,null,null,null,null,null
2016-02-15,null,null,null,null,null,null
2016-02-16,1.124600,1.124800,1.113200,1.115100,1.115100,19336
2016-02-17,1.114100,1.118700,1.111400,1.114600,1.114600,10465
2016-02-18,1.113500,1.115700,1.107600,1.110300,1.110300,12652
2016-02-19,1.111300,1.114500,1.107300,1.114100,1.114100,12678
2016-02-21,null,null,null,null,null,null
2016-02-22,1.112700,1.113100,1.100800,1.103100,1.103100,10925
2016-02-23,1.103200,1.105800,1.099600,1.101400,1.101400,11792
2016-02-24,1.102400,1.105100,1.096300,1.101900,1.101900,17054
2016-02-25,1.102100,1.105400,1.099100,1.104500,1.104500,11676
2016-02-26,1.102000,1.107200,1.091500,1.093100,1.093100,17229
2016-02-28,null,null,null,null,null,null
2016-02-29,1.092500,1.096700,1.086300,1.088500,1.088500,13908
2016-03-01,1.088700,1.089600,1.083700,1.086900,1.086900,15644
2016-03-02,1.087500,1.088400,1.082800,1.086700,1.086700,12273
2016-03-03,1.087300,1.097500,1.085700,1.095800,1.095800,15285
2016-03-04,1.095100,1.104500,1.090600,1.100000,1.100000,26292
2016-03-06,null,null,null,null,null,null
2016-03-07,1.099000,1.102700,1.094200,1.101800,1.101800,9434
2016-03-08,1.101300,1.105900,1.099500,1.100500,1.100500,10878
2016-03-09,1.101000,1.103700,1.094700,1.100400,1.100400,12244
2016-03-10,1.099300,1.121900,1.082300,1.120000,1.120000,55615
2016-03-11,1.118300,1.127300,1.108200,1.115700,1.115700,2221
2016-03-13,null,null,null,null,null,null
2016-03-14,1.114000,1.116900,1.110500,1.110800,1.110800,13436
2016-03-15,1.113200,1.115600,1.110300,1.113800,1.113800,9301
2016-03-16,1.113700,1.127300,1.108800,1.122400,1.122400,17138
2016-03-17,1.124300,1.137100,1.123400,1.134700,1.134700,18249
2016-03-18,1.134800,1.136600,1.128500,1.129600,1.129600,11192
2016-03-20,null,null,null,null,null,null
2016-03-21,1.130000,1.131300,1.126200,1.128000,1.128000,8589
2016-03-22,1.127100,1.128900,1.121700,1.124600,1.124600,11422
2016-03-23,1.124300,1.125000,1.118500,1.120800,1.120800,9459
2016-03-24,1.120700,1.121300,1.117000,1.119700,1.119700,7696
2016-03-27,null,null,null,null,null,null
2016-03-28,1.119000,1.124500,1.117900,1.122700,1.122700,5849
2016-03-29,1.122400,1.133000,1.119400,1.132200,1.132200,15496
2016-03-30,1.131700,1.139100,1.131100,1.136000,1.136000,14844
2016-03-31,1.135900,1.143800,1.133500,1.141200,1.141200,12931
2016-04-01,1.141000,1.146200,1.135900,1.141600,1.141600,16441
2016-04-03,null,null,null,null,null,null
2016-04-04,1.141400,1.143700,1.138200,1.141900,1.141900,8897
2016-04-05,1.141300,1.142800,1.135900,1.140800,1.140800,11263
2016-04-06,1.140800,1.145500,1.134900,1.142900,1.142900,13364
2016-04-07,1.142100,1.147600,1.135900,1.140000,1.140000,20301
2016-04-08,1.139900,1.144000,1.137000,1.141900,1.141900,10772
2016-04-10,null,null,null,null,null,null
2016-04-11,1.142500,1.146800,1.139300,1.143300,1.143300,11880
2016-04-12,1.142600,1.148600,1.136600,1.141700,1.141700,14329
2016-04-13,1.140200,1.141100,1.128800,1.130300,1.130300,14664
2016-04-14,1.129800,1.131400,1.125400,1.128500,1.128500,10687
2016-04-15,1.128200,1.133500,1.126400,1.130400,1.130400,10200
2016-04-17,null,null,null,null,null,null
2016-04-18,1.131300,1.135000,1.129200,1.133200,1.133200,9531
2016-04-19,1.133100,1.140300,1.132200,1.139300,1.139300,11015
2016-04-20,1.137600,1.140700,1.130800,1.131900,1.131900,12439
2016-04-21,1.131500,1.141700,1.128600,1.131100,1.131100,28478
2016-04-22,1.130300,1.132500,1.123400,1.124400,1.124400,11540
2016-04-24,null,null,null,null,null,null
2016-04-25,1.124500,1.129400,1.124000,1.127600,1.127600,6793
2016-04-26,1.128100,1.135600,1.127200,1.130500,1.130500,11332
2016-04-27,1.131500,1.137800,1.128800,1.134100,1.134100,12265
2016-04-28,1.134000,1.138200,1.131100,1.136400,1.136400,12555
2016-04-29,1.136300,1.147500,1.136300,1.146500,1.146500,16405
2016-05-01,null,null,null,null,null,null
2016-05-02,1.147100,1.155000,1.146200,1.153700,1.153700,9353
2016-05-03,1.154100,1.163000,1.150900,1.152000,1.152000,13629
2016-05-04,1.150600,1.154400,1.147900,1.151400,1.151400,14023
2016-05-05,1.149800,1.150600,1.139800,1.141100,1.141100,10553
2016-05-06,1.141600,1.149500,1.139900,1.141000,1.141000,12149
2016-05-08,null,null,null,null,null,null
2016-05-09,1.141100,1.143200,1.138700,1.139900,1.139900,8294
2016-05-10,1.139200,1.142100,1.137000,1.138000,1.138000,8297
2016-05-11,1.138100,1.145800,1.138100,1.143600,1.143600,7353
2016-05-12,1.143600,1.143900,1.138000,1.138400,1.138400,8373
2016-05-13,1.138400,1.139000,1.129100,1.131600,1.131600,10471
2016-05-15,null,null,null,null,null,null
2016-05-16,1.131500,1.135100,1.131100,1.132700,1.132700,5703
2016-05-17,1.132500,1.135800,1.128800,1.132600,1.132600,6077
2016-05-18,1.132000,1.132500,1.122200,1.123700,1.123700,9451
2016-05-19,1.122500,1.123700,1.118700,1.120800,1.120800,9255
2016-05-20,1.120900,1.124400,1.120300,1.122500,1.122500,5879
2016-05-22,null,null,null,null,null,null
2016-05-23,1.122500,1.124900,1.119400,1.122600,1.122600,6214
2016-05-24,1.122500,1.123300,1.113900,1.115200,1.115200,7768
2016-05-25,1.114700,1.117300,1.113500,1.116800,1.116800,6923
2016-05-26,1.116500,1.122100,1.115400,1.119500,1.119500,9319
2016-05-27,1.119500,1.120500,1.111600,1.114300,1.114300,7572
2016-05-29,null,null,null,null,null,null
2016-05-31,1.111900,1.117900,1.110200,1.113000,1.113000,11658
2016-06-01,1.113300,1.119800,1.111800,1.118600,1.118600,9518
2016-06-02,1.118900,1.122400,1.114800,1.115300,1.115300,11023
2016-06-03,1.115400,1.137900,1.114000,1.134800,1.134800,15529
2016-06-05,null,null,null,null,null,null
2016-06-06,1.136900,1.139600,1.132900,1.137600,1.137600,7744
2016-06-07,1.136100,1.138200,1.134100,1.136400,1.136400,5763
2016-06-08,1.136100,1.141300,1.135600,1.139900,1.139900,6950
2016-06-09,1.139900,1.141700,1.130600,1.133200,1.133200,8047
2016-06-10,1.132100,1.132100,1.125000,1.126100,1.126100,1234
2016-06-12,null,null,null,null,null,null
2016-06-13,1.124300,1.128400,1.123700,1.128400,1.128400,11147
2016-06-14,1.133200,1.133700,1.122800,1.124200,1.124200,12775
2016-06-15,1.124300,1.135800,1.122900,1.130200,1.130200,13053
2016-06-16,1.129900,1.133200,1.116900,1.127500,1.127500,19973
2016-06-17,1.126900,1.133500,1.126000,1.130700,1.130700,11189
2016-06-19,null,null,null,null,null,null
2016-06-20,1.135000,1.151500,1.133800,1.135100,1.135100,10136
2016-06-21,1.134900,1.138600,1.127600,1.129400,1.129400,11654
2016-06-22,1.128800,1.137400,1.127400,1.134600,1.134600,11244
2016-06-23,1.136200,1.145700,1.135200,1.139000,1.139000,14058
2016-06-24,1.145300,1.146500,1.094400,1.115500,1.115500,21774
2016-06-26,null,null,null,null,null,null
2016-06-27,1.108200,1.111600,1.100400,1.103600,1.103600,14269
2016-06-28,1.105500,1.114400,1.104300,1.107900,1.107900,11067
2016-06-29,1.110500,1.116200,1.108100,1.113800,1.113800,12447
2016-06-30,1.115300,1.118400,1.105300,1.110700,1.110700,18562
2016-07-01,1.113100,1.119900,1.110200,1.116500,1.116500,10074
2016-07-03,null,null,null,null,null,null
2016-07-05,1.116300,1.121600,1.109100,1.110000,1.110000,18398
2016-07-06,1.109800,1.114200,1.106000,1.113400,1.113400,13052
2016-07-07,1.112800,1.113600,1.108200,1.108400,1.108400,11048
2016-07-08,1.109300,1.114900,1.007700,1.007700,1.007700,15700
2016-07-10,null,null,null,null,null,null
2016-07-11,1.108400,1.110300,1.104400,1.108500,1.108500,10589
2016-07-12,1.109000,1.115500,1.108100,1.109600,1.109600,15114
2016-07-13,1.109200,1.114800,1.107000,1.113500,1.113500,14466
2016-07-14,1.112400,1.119200,1.111400,1.114800,1.114800,15231
2016-07-15,1.114200,1.117600,1.105100,1.108900,1.108900,13723
2016-07-17,null,null,null,null,null,null
2016-07-18,1.107100,1.111200,1.106400,1.109600,1.109600,9135
2016-07-19,1.110300,1.110700,1.102600,1.104200,1.104200,11221
2016-07-20,1.104400,1.105600,1.100700,1.103000,1.103000,10204
2016-07-21,1.103500,1.108500,1.100400,1.103800,1.103800,18480
2016-07-22,1.105000,1.106500,1.097900,1.098700,1.098700,13146
2016-07-24,null,null,null,null,null,null
2016-07-25,1.099900,1.102400,1.097600,1.101400,1.101400,6063
2016-07-26,1.101700,1.105500,1.100300,1.101100,1.101100,8407
2016-07-27,1.100900,1.108900,1.098500,1.104300,1.104300,10164
2016-07-28,1.108000,1.114300,1.107500,1.109500,1.109500,9416
2016-07-29,1.110000,1.121900,1.109500,1.120100,1.120100,11252
2016-07-31,null,null,null,null,null,null
2016-08-01,1.119700,1.120500,1.117600,1.119100,1.119100,5420
2016-08-02,1.118800,1.125600,1.118300,1.124800,1.124800,6826
2016-08-03,1.124400,1.124400,1.116100,1.116700,1.116700,6775
2016-08-04,1.117200,1.117800,1.113400,1.115000,1.115000,7107
2016-08-05,1.115000,1.118000,1.106400,1.111000,1.111000,9403
2016-08-07,null,null,null,null,null,null
2016-08-08,1.110200,1.112400,1.109100,1.110100,1.110100,4419
2016-08-09,1.110400,1.114000,1.108800,1.112500,1.112500,6322
2016-08-10,1.113200,1.120800,1.113100,1.119100,1.119100,7761
2016-08-11,1.119900,1.120700,1.115100,1.115900,1.115900,6486
2016-08-12,1.115200,1.123600,1.114600,1.117700,1.117700,8926
2016-08-14,null,null,null,null,null,null
2016-08-15,1.118400,1.121800,1.116900,1.119600,1.119600,5150
2016-08-16,1.119700,1.133800,1.119200,1.129000,1.129000,13569
2016-08-17,1.129200,1.133100,1.124500,1.130400,1.130400,9966
2016-08-18,1.130400,1.137900,1.130000,1.136700,1.136700,10570
2016-08-19,1.136500,1.137200,1.131600,1.133600,1.133600,8901
2016-08-21,null,null,null,null,null,null
2016-08-22,1.133400,1.134300,1.128300,1.133600,1.133600,7608
2016-08-23,1.133300,1.136600,1.131500,1.131800,1.131800,7531
2016-08-24,1.131800,1.132200,1.125700,1.127400,1.127400,7989
2016-08-25,1.127500,1.130700,1.127000,1.128900,1.128900,5835
2016-08-26,1.129400,1.135100,1.119000,1.119700,1.119700,16102
2016-08-28,null,null,null,null,null,null
2016-08-29,1.119700,1.121600,1.116700,1.119600,1.119600,6627
2016-08-30,1.119400,1.120000,1.114000,1.115000,1.115000,7491
2016-08-31,1.115300,1.117300,1.113000,1.116600,1.116600,7439
2016-09-01,1.116400,1.121100,1.113300,1.120400,1.120400,8863
2016-09-02,1.120000,1.126000,1.115600,1.116500,1.116500,10639
2016-09-04,null,null,null,null,null,null
2016-09-06,1.116100,1.126800,1.114400,1.125900,1.125900,16382
2016-09-07,1.125500,1.127600,1.123300,1.124800,1.124800,8255
2016-09-08,1.123800,1.133000,1.123800,1.126200,1.126200,24075
2016-09-09,1.126700,1.128800,1.120100,1.123100,1.123100,12252
2016-09-11,null,null,null,null,null,null
2016-09-12,1.123600,1.127200,1.121300,1.124500,1.124500,16363
2016-09-13,1.123800,1.126200,1.120600,1.121100,1.121100,10847
2016-09-14,1.121900,1.127700,1.121500,1.125200,1.125200,7475
2016-09-15,1.125100,1.128500,1.121900,1.124400,1.124400,7946
2016-09-16,1.124700,1.124800,1.114900,1.115100,1.115100,1966
2016-09-18,null,null,null,null,null,null
2016-09-19,1.116000,1.118300,1.115600,1.117800,1.117800,8045
2016-09-20,1.121800,1.125500,1.119100,1.119900,1.119900,8762
2016-09-21,1.119800,1.123700,1.116400,1.121700,1.121700,10445
2016-09-22,1.122900,1.129700,1.122500,1.124100,1.124100,11111
2016-09-23,1.124800,1.128000,1.123400,1.127100,1.127100,11004
2016-09-25,null,null,null,null,null,null
2016-09-26,1.126600,1.131900,1.126000,1.129500,1.129500,8491
2016-09-27,1.129100,1.129900,1.123100,1.126200,1.126200,11991
2016-09-28,1.125900,1.127700,1.122200,1.125500,1.125500,11207
2016-09-29,1.125600,1.128600,1.123300,1.125200,1.125200,11981
2016-09-30,1.125900,1.129000,1.119200,1.127700,1.127700,19511
2016-10-02,null,null,null,null,null,null
2016-10-03,1.127700,1.128400,1.124400,1.125500,1.125500,6844
2016-10-04,1.125000,1.127500,1.117300,1.123200,1.123200,19611
2016-10-05,1.123800,1.126800,1.122400,1.124700,1.124700,8930
2016-10-06,1.124000,1.124500,1.117100,1.117300,1.117300,9592
2016-10-07,1.118000,1.123600,1.113600,1.121000,1.121000,16801
2016-10-09,null,null,null,null,null,null
2016-10-11,1.116900,1.117300,1.107800,1.108000,1.108000,9502
2016-10-12,1.108300,1.109700,1.103400,1.104100,1.104100,10945
2016-10-13,1.103400,1.108700,1.101300,1.108400,1.108400,11263
2016-10-14,1.108200,1.108600,1.099900,1.101000,1.101000,9047
2016-10-16,null,null,null,null,null,null
2016-10-17,1.099600,1.103700,1.099200,1.102500,1.102500,6491
2016-10-18,1.102700,1.105400,1.099700,1.100500,1.100500,8330
2016-10-19,1.100400,1.103100,1.098000,1.099400,1.099400,8628
2016-10-20,1.100000,1.106400,1.094100,1.095100,1.095100,15043
2016-10-21,1.095000,1.095400,1.088400,1.089900,1.089900,9079
2016-10-23,null,null,null,null,null,null
2016-10-24,1.090800,1.092500,1.088300,1.090100,1.090100,7176
2016-10-25,1.090400,1.092900,1.087500,1.091300,1.091300,9022
2016-10-26,1.091200,1.096900,1.089900,1.093100,1.093100,10535
2016-10-27,1.093100,1.096400,1.090400,1.092500,1.092500,10593
2016-10-28,1.092000,1.101300,1.091500,1.100200,1.100200,12362
2016-10-30,null,null,null,null,null,null
2016-10-31,1.100700,1.101300,1.095800,1.098700,1.098700,5215
2016-11-01,1.099700,1.109000,1.098100,1.108200,1.108200,7975
2016-11-02,1.108000,1.114400,1.107100,1.111500,1.111500,12174
2016-11-03,1.111100,1.114600,1.107800,1.112400,1.112400,8028
2016-11-04,1.112400,1.116400,1.109900,1.113800,1.113800,8830
2016-11-06,null,null,null,null,null,null
2016-11-07,1.110900,1.113000,1.104500,1.105700,1.105700,7333
2016-11-08,1.105800,1.108400,1.102700,1.104700,1.104700,6126
2016-11-09,1.102700,1.131700,1.092200,1.094600,1.094600,35163
2016-11-10,1.093100,1.096800,1.087900,1.090600,1.090600,11607
2016-11-13,null,null,null,null,null,null
2016-11-14,1.085700,1.085700,1.072200,1.073900,1.073900,15606
2016-11-15,1.075900,1.083000,1.072800,1.073000,1.073000,17490
2016-11-16,1.073900,1.077300,1.068000,1.069500,1.069500,22344
2016-11-17,1.071100,1.075700,1.063100,1.063900,1.063900,21016
2016-11-18,1.063700,1.065400,1.058000,1.061100,1.061100,23659
2016-11-20,null,null,null,null,null,null
2016-11-21,1.060000,1.065900,1.059000,1.062000,1.062000,14289
2016-11-22,1.063800,1.066900,1.059400,1.063400,1.063400,12932
2016-11-23,1.063600,1.065400,1.053600,1.055800,1.055800,16930
2016-11-25,1.055900,1.063600,1.052700,1.060000,1.060000,18981
2016-11-27,null,null,null,null,null,null
2016-11-28,1.060800,1.069500,1.057300,1.060400,1.060400,14179
2016-11-29,1.062000,1.066200,1.057400,1.065600,1.065600,12585
2016-11-30,1.065500,1.067400,1.056000,1.060500,1.060500,20983
2016-12-01,1.060300,1.067600,1.058500,1.065300,1.065300,15854
2016-12-02,1.066500,1.069500,1.063200,1.066400,1.066400,12278
2016-12-04,null,null,null,null,null,null
2016-12-05,1.054600,1.080200,1.051100,1.077400,1.077400,25765
2016-12-06,1.076800,1.079000,1.070400,1.072200,1.072200,13139
2016-12-07,1.072400,1.077300,1.071400,1.076300,1.076300,7704
2016-12-08,1.076300,1.087800,1.060100,1.061700,1.061700,29650
2016-12-09,1.061800,1.063300,1.053400,1.055700,1.055700,12070
2016-12-11,null,null,null,null,null,null
2016-12-12,1.055100,1.065500,1.052800,1.063300,1.063300,11523
2016-12-13,1.064000,1.067000,1.060600,1.062300,1.062300,11998
2016-12-14,1.063700,1.067200,1.049800,1.056100,1.056100,14424
2016-12-15,1.053100,1.053100,1.036700,1.042600,1.042600,12522
2016-12-16,1.040500,1.047400,1.040200,1.043300,1.043300,2393
2016-12-18,null,null,null,null,null,null
2016-12-19,1.044800,1.047500,1.041500,1.044100,1.044100,12271
2016-12-20,1.044700,1.046300,1.039800,1.043600,1.043600,10553
2016-12-21,1.043900,1.049700,1.042800,1.047100,1.047100,11184
2016-12-22,1.047200,1.054300,1.046800,1.047900,1.047900,14062
2016-12-23,1.048100,1.051400,1.047100,1.049100,1.049100,7173
2016-12-25,null,null,null,null,null,null
2016-12-27,1.048900,1.050800,1.047500,1.050100,1.050100,4076
2016-12-28,1.050100,1.052400,1.042000,1.045800,1.045800,9563
2016-12-29,1.045600,1.053100,1.045100,1.052100,1.052100,13491
2016-12-30,1.053100,1.069000,1.052200,1.057400,1.057400,19880
2017-01-01,null,null,null,null,null,null
2017-01-03,1.049800,1.052900,1.037400,1.044600,1.044600,17030
2017-01-04,1.044100,1.053100,1.042300,1.049800,1.049800,13656
2017-01-05,1.051800,1.064500,1.051300,1.062200,1.062200,20084
2017-01-06,1.063400,1.065700,1.055400,1.056100,1.056100,15469
2017-01-08,null,null,null,null,null,null
2017-01-09,1.056000,1.061100,1.054000,1.060600,1.060600,14115
2017-01-10,1.061100,1.065700,1.057900,1.058700,1.058700,13048
2017-01-11,1.058400,1.065100,1.048000,1.060300,1.060300,26403
2017-01-12,1.061100,1.071000,1.059800,1.065100,1.065100,19424
2017-01-13,1.063900,1.070000,1.062100,1.066800,1.066800,15008
2017-01-15,null,null,null,null,null,null
2017-01-17,1.064900,1.074500,1.060400,1.073400,1.073400,23780
2017-01-18,1.073500,1.073700,1.065300,1.069200,1.069200,11655
2017-01-19,1.065800,1.070000,1.061100,1.068200,1.068200,21160
2017-01-20,1.067900,1.073100,1.064700,1.073000,1.073000,15046
2017-01-22,null,null,null,null,null,null
2017-01-23,1.072700,1.079200,1.072500,1.076800,1.076800,12854
2017-01-24,1.079200,1.079600,1.074000,1.074300,1.074300,10289
2017-01-25,1.075300,1.079000,1.073200,1.076100,1.076100,11071
2017-01-26,1.077000,1.078500,1.067700,1.071800,1.071800,13535
2017-01-27,1.069700,1.074400,1.067700,1.071800,1.071800,14014
2017-01-29,null,null,null,null,null,null
2017-01-30,1.073000,1.076000,1.063700,1.071100,1.071100,14887
2017-01-31,1.071900,1.082900,1.070100,1.082100,1.082100,19739
2017-02-01,1.081600,1.082400,1.074700,1.079300,1.079300,13738
2017-02-02,1.078300,1.084400,1.077100,1.077800,1.077800,11768
2017-02-03,1.077900,1.081200,1.072500,1.078100,1.078100,14734
2017-02-05,null,null,null,null,null,null
2017-02-06,1.079000,1.080300,1.071900,1.076200,1.076200,10043
2017-02-07,1.076000,1.076300,1.066900,1.070800,1.070800,10924
2017-02-08,1.069500,1.072800,1.065300,1.069800,1.069800,12466
2017-02-09,1.070900,1.072100,1.066300,1.067000,1.067000,14037
2017-02-10,1.066600,1.068000,1.061900,1.064300,1.064300,11459
2017-02-12,null,null,null,null,null,null
2017-02-13,1.064400,1.066900,1.060300,1.061000,1.061000,8764
2017-02-14,1.060700,1.064300,1.057100,1.058300,1.058300,13140
2017-02-15,1.059000,1.061900,1.053000,1.060000,1.060000,14121
2017-02-16,1.060200,1.068800,1.060200,1.068500,1.068500,11759
2017-02-17,1.067800,1.068500,1.061400,1.061500,1.061500,10049
2017-02-19,null,null,null,null,null,null
2017-02-21,1.062700,1.064000,1.053300,1.055600,1.055600,15779
2017-02-22,1.054300,1.058200,1.050100,1.057800,1.057800,17541
2017-02-23,1.056500,1.060100,1.054300,1.057900,1.057900,11583
2017-02-24,1.058500,1.062400,1.056100,1.057000,1.057000,12611
2017-02-26,null,null,null,null,null,null
2017-02-27,1.056500,1.063700,1.055800,1.059300,1.059300,9733
2017-02-28,1.059300,1.063600,1.057100,1.059700,1.059700,12559
2017-03-01,1.058000,1.059300,1.051800,1.054800,1.054800,13590
2017-03-02,1.055400,1.055400,1.049800,1.050500,1.050500,10249
2017-03-03,1.051500,1.062700,1.050600,1.060100,1.060100,14428
2017-03-05,null,null,null,null,null,null
2017-03-06,1.062100,1.064300,1.057700,1.059000,1.059000,11632
2017-03-07,1.058200,1.060600,1.056100,1.057000,1.057000,8273
2017-03-08,1.056800,1.057600,1.053600,1.055000,1.055000,9386
2017-03-09,1.054000,1.061600,1.052600,1.059300,1.059300,13733
2017-03-10,1.057500,1.074300,1.057200,1.069300,1.069300,2637
2017-03-12,null,null,null,null,null,null
2017-03-13,1.068400,1.070300,1.066000,1.066400,1.066400,9508
2017-03-14,1.070200,1.071200,1.064900,1.066000,1.066000,10016
2017-03-15,1.065500,1.079000,1.065400,1.075300,1.075300,14487
2017-03-16,1.078400,1.081900,1.075400,1.079700,1.079700,11659
2017-03-17,1.081800,1.083100,1.077800,1.079100,1.079100,10542
2017-03-19,null,null,null,null,null,null
